image_name,text
1-line-1-182f7306.png,Shova
1-line-2-6ad03c58.png,ABCDEFGI
1-line-3-9fd593e0.png,Hello
1-line-4-c49183e5.png,World
2-line-1-f09a766c.png,Bangladesh
2-line-2-0efbe32f.png,OpenAI
2-line-3-facf577e.png,Machine Learning
2-line-4-9291745c.png,Deep Learning
3-line-1-834d44e9.png,Deep Learning
3-line-2-a5782d08.png,Handwritten Text
3-line-3-d1124f3d.png,University Project
3-line-4-013331e6.png,My name is Shova
3-line-5-5b14b075.png,This is a Test
3-line-6-dcfb4070.png,I love reading books
4-line-1-605be31d.png,Artificial Intelligence
4-line-2-11628b33.png,Computer Science
4-line-3-826f6c30.png,Data Science
4-line-4-5787813a.png,Neural Network
4-line-5-98d3bf0f.png,Python Programming
5-line-1-1c0db7ba.png,Good morning
5-line-2-a3cc5458.png,How are you
5-line-3-87b42169.png,Thank you
5-line-4-07e1660f.png,Final year project
5-line-5-893957d9.png,Image processing
5-line-6-6709cf31.png,Text recognition
5-line-7-cbe86944.png,Hybrid OCR
5-line-8-feb985e1.png,Gemini model
5-line-9-f1985b3e.png,Single line sample
5-line-10-9aa44c10.png,Sample handwriting
5-line-11-ab2505e5.png,OCR training data
5-line-12-4da5ba7c.png,Model evaluation
6-line-1-217caf35.png,My university is in Dhaka
6-line-2-baae8f0f.png,I am learning OCR today
6-line-3-fec87867.png,Handwriting needs more samples
6-line-4-dce54172.png,The model should read clearly
6-line-5-d43bba69.png,This image contains one word
6-line-6-567061d2.png,Please detect the written text
6-line-7-436b35cc.png,The quick brown fox jumps
6-line-8-ecde1022.png,Sample data improves accuracy
6-line-9-e363661a.png,Training works better with labels
6-line-10-445cce3b.png,I want better recognition results
7-line-1-6a6f7909.png,My university is in Dhaka
7-line-2-ece35301.png,I am learning OCR today
7-line-3-0e2c90d8.png,Handwriting needs more samples
7-line-4-08485a82.png,The model should read clearly
7-line-5-6fab2f5d.png,This image contains one word
7-line-6-0c3b486f.png,Please detect the written text
7-line-7-c188c709.png,The quick brown fox jumps
7-line-8-fe0dcfcc.png,Sample data improves accuracy
7-line-9-8eae86a7.png,Training works better with labels
7-line-10-66ab02c5.png,I want better recognition results
whatsapp-image-2026-05-25-at-212408-1-d028b7d1.png,Validation
whatsapp-image-2026-05-25-at-212408-2-af55379f.png,Early Stopping
whatsapp-image-2026-05-25-at-212408-3-4d2a98cd.png,cross
whatsapp-image-2026-05-25-at-212408-4-1893d2a8.png,fitting
whatsapp-image-2026-05-25-at-212408-5-41741b03.png,data
whatsapp-image-2026-05-25-at-212408-1-1-aedb4bf2.png,Shova
whatsapp-image-2026-05-25-at-212408-1-2-bcbf4e54.png,How are you
whatsapp-image-2026-05-25-at-212408-1-3-3a755b0b.png,How
whatsapp-image-2026-05-25-at-212408-1-4-a5cc00cc.png,Text
whatsapp-image-2026-05-25-at-212408-1-5-d1df0e71.png,MOM
whatsapp-image-2026-05-25-at-212408-1-6-79c9b8e5.png,Sir
whatsapp-image-2026-05-25-at-212408-2-1-ef342b22.png,My Name is
whatsapp-image-2026-05-25-at-212408-2-2-35f29513.png,Hidden
whatsapp-image-2026-05-25-at-212408-2-3-2d55465d.png,Layer
whatsapp-image-2026-05-25-at-212408-2-4-3754c515.png,Output
whatsapp-image-2026-05-25-at-212409-1-2541d6db.png,Problem
whatsapp-image-2026-05-25-at-212409-2-ad216eeb.png,overfitting
whatsapp-image-2026-05-25-at-212409-3-3f59c49e.png,Unseen
whatsapp-image-2026-05-25-at-212409-4-88f8ded5.png,data
whatsapp-image-2026-05-25-at-212409-5-70ba613f.png,poorly
whatsapp-image-2026-05-25-at-212409-6-24c5e65f.png,on new
whatsapp-image-2026-05-25-at-212409-1-1-0e20be5b.png,Apply
whatsapp-image-2026-05-25-at-212409-1-2-5815bb8b.png,Use
whatsapp-image-2026-05-25-at-212409-1-3-423f9926.png,Dropout
whatsapp-image-2026-05-25-at-212409-1-4-592ed41f.png,increase
whatsapp-image-2026-05-25-at-212409-1-5-25bf20b3.png,cross
whatsapp-image-2026-05-25-at-212409-2-1-ac027856.png,Glucose Level
whatsapp-image-2026-05-25-at-212409-2-2-a29c627d.png,Non
whatsapp-image-2026-05-25-at-212409-2-3-cc7f607b.png,Father
whatsapp-image-2026-05-25-at-212409-2-4-b8e6fd85.png,DAD
whatsapp-image-2026-05-25-at-212409-2-5-7c58fdf7.png,Saitan
whatsapp-image-2026-05-25-at-212409-2-6-69d05550.png,Devil
whatsapp-image-2026-05-25-at-212409-2-7-dfa68c63.png,god
whatsapp-image-2026-05-25-at-212410-1-679c0cd0.png,BMI
whatsapp-image-2026-05-25-at-212410-2-cdf59862.png,Age
whatsapp-image-2026-05-25-at-212410-3-d1f207a7.png,Blood
whatsapp-image-2026-05-25-at-212410-4-4741e8e6.png,Family
whatsapp-image-2026-05-25-at-212410-5-6a80c515.png,History
whatsapp-image-2026-05-25-at-212410-6-a617cac8.png,Pressure
whatsapp-image-2026-05-25-at-212410-1-1-877f398c.png,Digital forensic
whatsapp-image-2026-05-25-at-212410-1-2-d558646e.png,scientific
whatsapp-image-2026-05-25-at-212410-1-3-6840f77f.png,process
whatsapp-image-2026-05-25-at-212410-1-4-75161a90.png,digital
whatsapp-image-2026-05-25-at-212410-1-5-15727635.png,Collecting
whatsapp-image-2026-05-25-at-212408-2-segment-1-2813b7c7.png,My name is
whatsapp-image-2026-05-25-at-212408-2-segment-2-ac2127af.png,Hidden
whatsapp-image-2026-05-25-at-212408-2-segment-3-86354ff1.png,layer
whatsapp-image-2026-05-25-at-212408-2-segment-4-31fc9d57.png,output
whatsapp_image_2026-05-25_at_21_mdxfpjw2408_2-correction.jpeg,"MY Name Is
Hidden
Layer
Output"
7-correction.jpg,"my university is in dhaka
am lea nina ocr today
handwriting needs move samples
the model should read clearly
this mage contains one word
please detroit the written text
the quick brown box pumps
sample data imp guess actually
training works better with labels
want better recognition results"
